Footprint,Quantity,Additional,Designation,Manufacturer,Stock,Unit_Price,Ext_Price,URL
Adafruit_Buzzer,11,6,Buzzer,,,,,https://www.adafruit.com/product/1536
BGA6C100X50P2X3_HDC2010YPAR,1,1,HDC2010YPAR,Texas Instruments,13104,$1.6300,$3.26,https://www.digikey.com/en/products/detail/texas-instruments/HDC2010YPAR/7561364
BMI323_BOS,1,1,BMI323,Bosch Sensortec,20525,$3.2700,$6.54,https://www.digikey.com/en/products/detail/bosch-sensortec/BMI323/16719593
C_0603_1608Metric,66,34,100nF,Samsung Electro-Mechanics,4049759,$0.0060,$0.60,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B104KBCNNNC/3886661
C_0603_1608Metric,3,97,1uF,Samsung Electro-Mechanics,3920211,$0.0050,$0.50,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B105KP8NNNC/3887604
C_0603_1608Metric,7,-7,2.2uF,,,,,
C_0603_1608Metric,3,7,470n,Samsung Electro-Mechanics,74192,$0.1110,$1.11,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B474KO8VPJC/20498504
C_0805_2012Metric,4,-4,100nF,,,,,
C_0805_2012Metric,1,-1,10uf,,,,,
C_0805_2012Metric,1,49,1uF,Samsung Electro-Mechanics,597155,$0.0130,$0.65,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B105KBFNNNE/3886687
C_0805_2012Metric,1,19,22uf,Samsung Electro-Mechanics,1457152,$0.0430,$0.86,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A226MAYNNNE/10479857
D_0603_1608Metric,2,8,D_Schottky,Comchip Technology,66218,$0.2220,$2.22,https://www.digikey.com/en/products/detail/comchip-technology/CDBU0245/17879931
ESP32-C3-WROOM-02,1,1,ESP32-C3-WROOM-02,Espressif Systems,11629,$3.2800,$6.56,https://www.digikey.com/en/products/detail/espressif-systems/ESP32-C3-WROOM-02-N4/14553031
GCT_USB4105-GF-A-060,1,9,USB4105-GF-A-060,GCT,4083,$0.6590,$6.59,https://www.digikey.com/en/products/detail/gct/USB4105-GF-A-060/14559036
HLGA-10L_2X2X0P73_STM,6,4,LPS22HBTR,STMicroelectronics,7782,$2.2190,$22.19,https://www.digikey.com/en/products/detail/stmicroelectronics/LPS22HBTR/5799910?s=N4IgTCBcDaIDYAcDOYwAsBGIC6BfIA
IC_BNO085,1,1,BNO085,"CEVA Technologies, Inc.",6324,$13.0500,$26.10,https://www.digikey.com/en/products/detail/ceva-technologies-inc/BNO085/9445940
JST 2 Pin Hor,1,0,,,,,,https://a.co/d/8D57Hyv
JST 2 Pin Vert,1,0,,,,,,https://a.co/d/g4ty8Ep
JST 4 Pin Hor,1,0,,,,,,https://a.co/d/6fNE7Ok
JST 4 Pin Vert,1,0,,,,,,https://a.co/d/cc5nvbv
L_1210_3225Metric,3,-3,15u,,,,,
LBAA0XV2GT001,3,0,LBAA0XV2GT-001,Murata Electronics,998,$13.0600,$39.18,https://www.digikey.com/en/products/detail/murata-electronics/LBAA0XV2GT-001/23023627
LED_0805_2012Metric,41,-41,LED,,,,,
LGA-14L_2P5X3X0P86_STM,2,2,LSM6DSOTR,STMicroelectronics,19831,$3.8200,$15.28,https://www.digikey.com/en/products/detail/stmicroelectronics/LSM6DSOTR/9586579
LGA-28_5.2x3.8mm_P0.5mm,3,2,BNO055,Bosch Sensortec,2496,$11.1980,$55.99,https://www.digikey.com/en/products/detail/bosch-sensortec/BNO055/6136301
LGA-8_3x5mm_P1.25mm,2,8,MS5611-01BA,TE Connectivity Measurement Specialties,5621,$8.0790,$80.79,https://www.digikey.com/en/products/detail/te-connectivity-measurement-specialties/MS561101BA03-50/5277445
