Footprint;Quantity;Designation;Manufacturer;Digikey_PN;Stock;Unit_Price;Ext_Price;URL
Adafruit_Buzzer;9;CPT-9019A-SMT-TR;Same Sky (Formerly CUI Devices);;21866;$1.0100;$9.09;https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/CPT-9019A-SMT-TR/19105220
BGA6C100X50P2X3_HDC2010YPAR;1;HDC2010YPAR;Texas Instruments;;13104;$1.6300;$1.63;https://www.digikey.com/en/products/detail/texas-instruments/HDC2010YPAR/7561364
BMI323_BOS;1;BMI323;Bosch Sensortec;;20525;$3.2700;$3.27;https://www.digikey.com/en/products/detail/bosch-sensortec/BMI323/16719593
Buzzer_12x9.5RM7.6;1;Buzzer;;NOT FOUND;;;;
Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm;1;Buzzer;;NOT FOUND;;;;
C_0603_1608Metric;66;100nF;;N/A - Passive;;;;
C_0603_1608Metric;3;1uF;;N/A - Passive;;;;
C_0603_1608Metric;7;2.2uF;;N/A - Passive;;;;
C_0603_1608Metric;3;470n;;N/A - Passive;;;;
C_0805_2012Metric;4;100nF;;N/A - Passive;;;;
C_0805_2012Metric;1;10uf;;N/A - Passive;;;;
C_0805_2012Metric;1;1uF;;N/A - Passive;;;;
C_0805_2012Metric;1;22uf;;N/A - Passive;;;;
D_0603_1608Metric;2;D_Schottky;;N/A - Passive;;;;
ESP32-C3-WROOM-02;1;ESP32-C3-WROOM-02;Espressif Systems;;11629;$3.2800;$3.28;https://www.digikey.com/en/products/detail/espressif-systems/ESP32-C3-WROOM-02-N4/14553031
GCT_USB4105-GF-A-060;1;USB4105-GF-A-060;GCT;;4083;$0.7800;$0.78;https://www.digikey.com/en/products/detail/gct/USB4105-GF-A-060/14559036
HLGA-10L_2X2X0P73_STM;2;LPS22HHTR;STMicroelectronics;;0;$2.4900;$4.98;https://www.digikey.com/en/products/detail/stmicroelectronics/LPS22HHTR/9586578
IC_BNO085;1;BNO085;CEVA Technologies, Inc.;;6324;$13.0500;$13.05;https://www.digikey.com/en/products/detail/ceva-technologies-inc/BNO085/9445940
LBAA0XV2GT001;3;LBAA0XV2GT-001;Murata Electronics;;998;$13.0600;$39.18;https://www.digikey.com/en/products/detail/murata-electronics/LBAA0XV2GT-001/23023627
LED_0805_2012Metric;41;LED;;N/A - Passive;;;;
LGA-14L_2P5X3X0P86_STM;2;LSM6DSOTR;STMicroelectronics;;19831;$3.8200;$7.64;https://www.digikey.com/en/products/detail/stmicroelectronics/LSM6DSOTR/9586579
LGA-28_5.2x3.8mm_P0.5mm;2;BNO055;Bosch Sensortec;;2496;$12.3400;$24.68;https://www.digikey.com/en/products/detail/bosch-sensortec/BNO055/6136301
LGA-8_3x5mm_P1.25mm;2;MS5611-01BA;TE Connectivity Measurement Specialties;;5621;$9.3000;$18.60;https://www.digikey.com/en/products/detail/te-connectivity-measurement-specialties/MS561101BA03-50/5277445
LGA28R50P4X10_380X520X100;1;9 Axis sensor;Texas Instruments;;28314;$0.6100;$0.61;https://www.digikey.com/en/products/detail/texas-instruments/DRV5053VAQDBZR/5015738
LGA8_FRE;1;MPL115A2T1;NXP USA Inc.;;0;$0.0000;$0.00;https://www.digikey.com/en/products/detail/nxp-usa-inc/MPL115A2T1/2186526
L_1210_3225Metric;3;15u;TDK Corporation;;51018;$0.1000;$0.30;https://www.digikey.com/en/products/detail/tdk-corporation/MLZ2012M150WT000/2465154
PQFN50P450X300X100-16N;3;BMI088;Bosch Sensortec;;10418;$5.2300;$15.69;https://www.digikey.com/en/products/detail/bosch-sensortec/BMI088/8634936
PinHeader_1x04_P2.54mm_Vertical;1;I2C;;NOT FOUND;;;;
PinHeader_1x05_P2.54mm_Vertical;3;Conn_01x05;;NOT FOUND;;;;
QFN-16-1EP_3x3mm_P0.5mm_EP1.675x1.675mm;1;MLX90395xLW;;NOT FOUND;;;;
QFN-16_MLX90393_MEL;1;MLX90393SLW-ABA-011-RE (Magnetometer);;NOT FOUND;;;;
QFN10_BMP581_BOS;1;BMP581;Bosch Sensortec;;0;$2.9200;$2.92;https://www.digikey.com/en/products/detail/bosch-sensortec/BMP581/16036134
R_0402_1005Metric;7;5.1K;;N/A - Passive;;;;
R_0603_1608Metric;3;100k;;N/A - Passive;;;;
R_0603_1608Metric;8;10K;;N/A - Passive;;;;
