Footprint;Quantity;Designation;Supplier and ref;
Adafruit_Buzzer;9;CPT-9019A-SMT-TR;;
BGA6C100X50P2X3_HDC2010YPAR;1;HDC2010YPAR;;
BMI323_BOS;1;BMI323;;
Buzzer_12x9.5RM7.6;1;Buzzer;;
Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm;1;Buzzer;;
C_0603_1608Metric;66;100nF;;
C_0603_1608Metric;3;1uF;;
C_0603_1608Metric;7;2.2uF;;
C_0603_1608Metric;3;470n;;
C_0805_2012Metric;4;100nF;;
C_0805_2012Metric;1;10uf;;
C_0805_2012Metric;1;1uF;;
C_0805_2012Metric;1;22uf;;
D_0603_1608Metric;2;D_Schottky;;
ESP32-C3-WROOM-02;1;ESP32-C3-WROOM-02;;
GCT_USB4105-GF-A-060;1;USB4105-GF-A-060;;
HLGA-10L_2X2X0P73_STM;2;LPS22HHTR;;
IC_BNO085;1;BNO085;;
LBAA0XV2GT001;3;LBAA0XV2GT-001;;
LED_0805_2012Metric;41;LED;;
LGA-14L_2P5X3X0P86_STM;2;LSM6DSOTR;;
LGA-28_5.2x3.8mm_P0.5mm;2;BNO055;;
LGA-8_3x5mm_P1.25mm;2;MS5611-01BA;;
LGA28R50P4X10_380X520X100;1;9 Axis sensor;;
LGA8_FRE;1;MPL115A2T1;;
L_1210_3225Metric;3;15u;;
PQFN50P450X300X100-16N;3;BMI088;;
PinHeader_1x04_P2.54mm_Vertical;1;I2C;;
PinHeader_1x05_P2.54mm_Vertical;3;Conn_01x05;;
QFN-16-1EP_3x3mm_P0.5mm_EP1.675x1.675mm;1;MLX90395xLW;;
QFN-16_MLX90393_MEL;1;MLX90393SLW-ABA-011-RE (Magnetometer);;
QFN10_BMP581_BOS;1;BMP581;;
R_0402_1005Metric;7;5.1K;;
R_0603_1608Metric;3;100k;;
R_0603_1608Metric;8;10K;;
R_0603_1608Metric;1;200k;;
R_0603_1608Metric;3;2k;;
R_0603_1608Metric;1;300k;;
R_0603_1608Metric;18;5.1 k;;
R_0603_1608Metric;36;560Ω;;
R_0603_1608Metric;3;78k7;;
SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount;3;SMA;;
SON40P200X250X40-9N;1;MLX90397RLQ-AAA-000-SP;;
SOT-23-5;1;XC6220B331MR;;
ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y;2;LPS22HH;;
SW3_CSS-1210TB_NDC;1;CSS-1210TB;;
SW4_SKRPABE010_ALPS;2;SKRPABE010;;
TFBGA-100_8x8mm_Layout10x10_P0.8mm;3;STM32H723VEHx;;
Texas_DRT-3;1;TPD2EUSB30;;
U.FL_Molex_MCRF_73412-0110_Vertical;1;Conn_Coaxial_Small;;
WLP-4_0.86x0.86mm_P0.4mm;2;MMC5633NJL;;
WLP4_0P82X0P82_MEM-M;2;MMC5603NJ;;
WSEN-PADS_2511020213301;1;WSEN-PADS_2511020213301 (Barometer);;
XCVR_ESP32-S3-MINI-1-N4R2;1;ESP32-S3-MINI-1;;
XDCR_BMI270;1;BMI270 (IMU);;
XDCR_LPS22DFTR;2;LPS22DFTR;;
teensy;11;~;;
ublox_LEA;1;LEA-M8T;;
ublox_SAM-M8Q;3;SAM-M10Q;;
