"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J2";"JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal";1;"BAT";;;
2;"R2,R3";"R_0603_1608Metric";2;"5.1 k";;;
3;"C3,C2,C1,C4,C5";"C_0603_1608Metric";5;"100nF";;;
4;"Teensy4.1";"teensy";1;"~";;;
5;"J4";"JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal";1;"Radio";;;
6;"R1";"R_0603_1608Metric";1;"560Ω";;;
7;"J3";"JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal";1;"GPS";;;
8;"U1";"HLGA-10L_2X2X0P73_STM";1;"LPS22HHTR";;;
9;"U3";"LGA-14L_2P5X3X0P86_STM";1;"LSM6DSOTR";;;
10;"J1";"JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal";1;"SW";;;
11;"D1";"LED_0805_2012Metric";1;"LED";;;
12;"U4";"SON40P200X250X40-9N";1;"MLX90397RLQ-AAA-000-SP";;;
13;"LS1";"Adafruit_Buzzer";1;"CPT-9019A-SMT-TR";;;
