"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J4";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"Radio";;;
2;"C4,C3,C1,C2,C6,C5";"C_0603_1608Metric";6;"100nF";;;
3;"J1";"JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal";1;"BAT";;;
4;"J3";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"GPS";;;
5;"IC1";"WSEN-PADS_2511020213301";1;"WSEN-PADS_2511020213301 (Barometer)";;;
6;"U1";"QFN-16_MLX90393_MEL";1;"MLX90393SLW-ABA-011-RE (Magnetometer)";;;
7;"R3";"R_0603_1608Metric";1;"560";;;
8;"U2";"XDCR_BMI270";1;"BMI270 (IMU)";;;
9;"D1";"LED_0805_2012Metric";1;"LED";;;
10;"R2,R1";"R_0603_1608Metric";2;"5.1kR";;;
11;"BZ1";"Adafruit_Buzzer";1;"Buzzer";;;
12;"J2";"JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal";1;"SW";;;
13;"Teensy4.1";"teensy";1;"~";;;
