"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J5";"JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical";1;"Conn_01x06";;;
2;"R5,R4";"R_0603_1608Metric";2;"560";;;
3;"J2";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"Switch1";;;
4;"J4";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"Battery1";;;
5;"D1,D2";"LED_0805_2012Metric";2;"LED";;;
6;"J3";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"GPS";;;
7;"R3,R1,R2";"R_0402_1005Metric";3;"5.1K";;;
8;"C1,C6,C7,C4,C3,C5,C2";"C_0603_1608Metric";7;"100nf";;;
9;"Teensy4.1";"teensy";1;"~";;;
10;"J1";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"Radio";;;
11;"U4";"ESP32-C3-WROOM-02";1;"ESP32-C3-WROOM-02";;;
12;"U5";"PQFN50P450X300X100-16N";1;"BMI088";;;
13;"U2";"QFN10_BMP581_BOS";1;"BMP581";;;
14;"U1";"BGA6C100X50P2X3_HDC2010YPAR";1;"HDC2010YPAR";;;
15;"BZ1";"Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm";1;"Buzzer";;;
16;"U3";"WLP4_0P82X0P82_MEM-M";1;"MMC5603NJ";;;
