"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J4";"JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal";1;"I2C GPS Connector";;;
2;"C3";"C_0805_2012Metric";1;"1uF";;;
3;"R3,R2,R1";"R_0603_1608Metric";3;"560";;;
4;"Rpull2,Rpull1";"R_0402_1005Metric";2;"5k1";;;
5;"C5,C2,C1,C4";"C_0805_2012Metric";4;"100nF";;;
6;"A1";"ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y";1;"LPS22DFTR";;;
7;"R4";"R_0603_1608Metric";1;"100k";;;
8;"J3";"JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal";1;"UART Radio Connector";;;
9;"Teensy4.1";"teensy";1;"~";;;
10;"BZ1";"Adafruit_Buzzer";1;"Buzzer";;;
11;"R5";"R_0603_1608Metric";1;"78k7";;;
12;"J2";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"BAT";;;
13;"D1,D3,D2";"LED_0805_2012Metric";3;"LED";;;
14;"U1";"LGA-28_5.2x3.8mm_P0.5mm";1;"BNO055";;;
15;"J1";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"SW";;;
