Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet,,,
A1,1,LPS22DFTR,,,,LPS22DFTR:XDCR_LPS22DFTR,,,,x
BZ1,1,Buzzer,,,,adaafruitBuzzer:Adafruit_Buzzer,~,,,x
C1,1,1uF,,,,Capacitor_SMD:C_0805_2012Metric,~,,,x
"C2,C3,C4,C5",4,100nF,,,,Capacitor_SMD:C_0805_2012Metric,~,,,x
"D1,D2,D3",3,LED,,,,LED_SMD:LED_0805_2012Metric,~,,,x
J1,1,I2C GPS Connector,,,,Connector_JST:JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,~,,,x
J2,1,UART Radio Connector,,,,Connector_JST:JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,~,,,x
J3,1,BAT,,,,Connector_JST:JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,~,,,x
J4,1,SW,,,,Connector_JST:JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,~,,,x
"R1,R2,R3",3,560,,,,Resistor_SMD:R_0805_2012Metric,~,,,x
R4,1,78k7,,,,Resistor_SMD:R_0201_0603Metric,~,,,x
R6,1,100k,,,,Resistor_SMD:R_0201_0603Metric,~,,,x
"Rpull1,Rpull2",2,5k1,,,,Resistor_SMD:R_01005_0402Metric,~,,,x
Teensy4.1,1,~,,,,my footprint library:teensy,,,,x
U2,1,BNO055,,,,BNO055:LGA28R50P4X10_380X520X100,,,,x
