"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C2,C4,C3,C1,C6";"C_0603_1608Metric";5;"100nF";;;
2;"D2";"LED_0805_2012Metric";1;"SENS";;;
3;"J3";"JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical";1;"Conn_01x04";;;
4;"D1";"LED_0805_2012Metric";1;"GPS";;;
5;"D3";"LED_0805_2012Metric";1;"LED";;;
6;"J4";"JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal";1;"I2C";;;
7;"R3,R2";"R_0603_1608Metric";2;"10k";;;
8;"BZ1";"Adafruit_Buzzer";1;"Buzzer";;;
9;"R1,R7,R6";"R_0603_1608Metric";3;"560";;;
10;"Teensy4.1";"teensy";1;"~";;;
11;"IC1";"IC_BNO085";1;"BNO085";;;
12;"R4,R5";"R_0603_1608Metric";2;"5.1k";;;
13;"U1";"ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y";1;"LPS22HH";;;
14;"J2,J1";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";2;"Conn_01x02";;;
