"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D3";"LED_0805_2012Metric";1;"LED_GPIO";;;
2;"Ant";"U.FL_Molex_MCRF_73412-0110_Vertical";1;"Conn_Coaxial_Small";;;
3;"J3";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"Battery1";;;
4;"J1";"GCT_USB4105-GF-A-060";1;"USB4105-GF-A-060";;;
5;"U1";"ublox_LEA";1;"LEA-M8T";;;
6;"PWR_LED";"LED_0805_2012Metric";1;"LED_PWR";;;
7;"D1,D2";"D_0603_1608Metric";2;"D_Schottky";;;
8;"Boot,Rst";"SW4_SKRPABE010_ALPS";2;"SKRPABE010";;;
9;"PWR";"SW3_CSS-1210TB_NDC";1;"CSS-1210TB";;;
10;"C2";"C_0805_2012Metric";1;"10uf";;;
11;"R5,R4";"R_0402_1005Metric";2;"5.1K";;;
12;"U3";"SOT-23-5";1;"XC6220B331MR";;;
13;"U4";"Texas_DRT-3";1;"TPD2EUSB30";;;
14;"R2,R3,R6,R1";"R_0603_1608Metric";4;"10K";;;
15;"U2";"XCVR_ESP32-S3-MINI-1-N4R2";1;"ESP32-S3-MINI-1";;;
16;"C1";"C_0805_2012Metric";1;"22uf";;;
