"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R2,R1";"R_0603_1608Metric";2;"5k1";;;
2;"R7,R6,R5";"R_0603_1608Metric";3;"560";;;
3;"C2,C4,C1,C5,C3";"C_0603_1608Metric";5;"100nF";;;
4;"BZ1";"Adafruit_Buzzer";1;"Buzzer";;;
5;"R3";"R_0603_1608Metric";1;"200k";;;
6;"D3,D2,D1";"LED_0805_2012Metric";3;"LED";;;
7;"J1";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"SW";;;
8;"U1";"LGA-28_5.2x3.8mm_P0.5mm";1;"BNO055";;;
9;"Teensy4.1";"teensy";1;"~";;;
10;"J2";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"BAT";;;
11;"R4";"R_0603_1608Metric";1;"300k";;;
12;"A1";"XDCR_LPS22DFTR";1;"LPS22DFTR";;;
13;"J4";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"GPS";;;
14;"J3";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"Radio";;;
