time,stage,bno_accelMag, bno_accel X,bno_accel Y,bno_accel Z,bno_orien W,bno_orien X,bno_orien Y,bno_orien Z,bar_alt,bar_pressure,bar_temp,gps_angle,gpsPos lon,gpsPos lat,gpsPos alt
1838.76,0,9.76,-0.03,-0.02,9.76,0.72,0,0.69,-0.02,0.72,0,0,260.83,-75.87,39.08,32.45
1838.87,0,9.77,0,0.07,9.77,0.72,0,0.69,-0.02,0.74,0,0,260.83,-75.87,39.08,32.45
1838.98,0,9.77,-0.03,0.22,9.77,0.72,0,0.69,-0.02,1.34,0,0,260.83,-75.87,39.08,32.45
1839.08,0,9.75,-0.1,0.04,9.75,0.72,0,0.69,-0.02,1.08,0,0,260.83,-75.87,39.08,32.45
1839.19,0,9.77,-0.04,-0.05,9.77,0.72,0,0.69,-0.02,1.17,0,0,260.83,-75.87,39.08,32.45
1839.3,0,9.78,0.13,0.06,9.78,0.72,0,0.69,-0.02,1.06,0,0,260.83,-75.87,39.08,32.45
1839.46,0,9.78,0.02,-0.06,9.78,0.72,0,0.69,-0.02,1.22,0,0,260.83,-75.87,39.08,32.38
1839.57,0,9.78,-0.1,-0.19,9.77,0.72,0,0.69,-0.02,1.22,0,0,260.83,-75.87,39.08,32.38
1839.68,0,9.77,-0.2,0.04,9.76,0.72,0,0.69,-0.02,1.32,0,0,260.83,-75.87,39.08,32.38
1839.79,0,9.77,-0.04,0.13,9.77,0.72,0,0.69,-0.02,1.41,0,0,260.83,-75.87,39.08,32.38
1839.9,0,9.78,-0.09,0,9.78,0.72,0,0.69,-0.02,1.11,0,0,260.83,-75.87,39.08,32.38
1840,0,9.76,0.03,0.02,9.76,0.72,0,0.69,-0.02,1.57,0,0,260.83,-75.87,39.08,32.38
1840.11,0,9.77,0.02,-0.24,9.77,0.72,0,0.69,-0.02,1.78,0,0,260.83,-75.87,39.08,32.38
1840.22,0,9.74,0.01,0.05,9.74,0.72,0,0.69,-0.02,1.4,0,0,260.83,-75.87,39.08,32.38
1840.32,0,9.78,-0.02,-0.14,9.78,0.72,0,0.69,-0.02,1.48,0,0,260.83,-75.87,39.08,32.38
1840.44,0,9.77,0.07,0.02,9.77,0.72,0,0.69,-0.02,1.6,0,0,260.83,-75.87,39.08,32.42
1840.55,0,9.76,0.11,0.06,9.76,0.72,0,0.69,-0.02,1.39,0,0,260.83,-75.87,39.08,32.42
1840.66,0,9.74,0.02,0.11,9.74,0.72,0,0.69,-0.02,1.72,0,0,260.83,-75.87,39.08,32.42
1840.76,0,9.75,0.03,-0.02,9.75,0.72,0,0.69,-0.02,1.67,0,0,260.83,-75.87,39.08,32.42
1840.87,0,9.75,-0.07,0,9.75,0.72,0,0.69,-0.02,1.31,0,0,260.83,-75.87,39.08,32.42
1840.98,0,9.75,-0.03,0.13,9.75,0.72,0,0.69,-0.02,1.34,0,0,260.83,-75.87,39.08,32.42
1841.09,0,9.78,0.08,-0.04,9.78,0.72,0,0.69,-0.02,1.43,0,0,260.83,-75.87,39.08,32.42
1841.19,0,9.74,0,0.11,9.74,0.72,0,0.69,-0.02,1.28,0,0,260.83,-75.87,39.08,32.42
1841.3,0,9.77,0.05,-0.01,9.77,0.72,0,0.69,-0.02,1.15,0,0,260.83,-75.87,39.08,32.42
1841.41,0,9.75,-0.03,-0.07,9.75,0.72,0,0.69,-0.02,1.21,0,0,260.83,-75.87,39.08,32.42
1841.53,0,9.79,-0.09,-0.07,9.79,0.72,0,0.69,-0.02,1.06,0,0,260.83,-75.87,39.08,32.45
1841.63,0,9.76,-0.02,-0.02,9.76,0.72,0,0.69,-0.02,0.97,0,0,260.83,-75.87,39.08,32.45
1841.74,0,9.74,-0.03,-0.03,9.74,0.72,0,0.69,-0.02,0.96,0,0,260.83,-75.87,39.08,32.45
1841.85,0,9.76,0.05,-0.12,9.76,0.72,0,0.69,-0.02,1.1,0,0,260.83,-75.87,39.08,32.45
1841.96,0,9.77,-0.11,0.06,9.77,0.72,0,0.69,-0.02,0.91,0,0,260.83,-75.87,39.08,32.45
1842.06,0,9.76,-0.08,0.03,9.76,0.72,0,0.69,-0.02,0.85,0,0,260.83,-75.87,39.08,32.45
1842.17,0,9.76,-0.03,0.02,9.76,0.72,0,0.69,-0.02,1.12,0,0,260.83,-75.87,39.08,32.45
1842.28,0,9.74,-0.02,-0.02,9.74,0.72,0,0.69,-0.02,1.07,0,0,260.83,-75.87,39.08,32.45
1842.38,0,9.76,-0.02,-0.03,9.76,0.72,0,0.69,-0.02,1.06,0,0,260.83,-75.87,39.08,32.45
1842.49,0,9.75,0,-0.03,9.75,0.72,0,0.69,-0.02,1.13,0,0,260.83,-75.87,39.08,32.45
1842.66,0,9.76,-0.02,0.1,9.76,0.72,0,0.69,-0.02,1.01,0,0,260.83,-75.87,39.08,32.5
1842.77,0,9.74,-0.02,-0.01,9.74,0.72,0,0.69,-0.02,0.98,0,0,260.83,-75.87,39.08,32.5
1842.87,0,9.75,-0.03,0.02,9.75,0.72,0,0.69,-0.02,0.92,0,0,260.83,-75.87,39.08,32.5
1842.98,0,9.76,0,0.04,9.76,0.72,0,0.69,-0.02,0.38,0,0,260.83,-75.87,39.08,32.5
1843.09,0,9.75,-0.03,0.08,9.75,0.72,0,0.69,-0.02,0.75,0,0,260.83,-75.87,39.08,32.5
1843.2,0,9.75,0.02,-0.02,9.75,0.72,0,0.69,-0.02,0.95,0,0,260.83,-75.87,39.08,32.5
1843.31,0,9.76,-0.04,-0.01,9.76,0.72,0,0.69,-0.02,0.67,0,0,260.83,-75.87,39.08,32.5
1843.41,0,9.77,-0.04,-0.04,9.77,0.72,0,0.69,-0.02,0.65,0,0,260.83,-75.87,39.08,32.5
