t,r_x,r_y,r_z,a_x,a_y,a_z
8.354,0,0,0.06,0.09,0.09,0.41
8.454,0,0,0.21,-0.07,-0.07,0.4
8.554,0,0,0.35,0.02,0.02,0.44
8.654,0,0,0.19,0.05,0.05,0.42
8.754,0,0,0.07,0.04,0.04,0.4
8.854,0,0,0.1,0.09,0.09,0.42
8.954,0,0,0.27,-0.01,-0.01,0.41
9.054,0,0,0.26,0,0,0.4
9.154,0,0,0.16,0.11,0.11,0.39
9.254,0,0,0.14,0.05,0.05,0.42
9.354,0,0,0.01,-0.08,-0.08,0.39
9.454,0,0,0.27,0.03,0.03,0.32
9.554,0,0,0.29,0,0,0.28
9.654,0,0,0.18,0.02,0.02,0.25
9.754,0,0,0.05,0.13,0.13,0.22
9.854,0,0,-0.01,-0.03,-0.03,0.18
9.954,0,0,0.17,-0.11,-0.11,0.1
10.054,0,0,0.21,0.07,0.07,0.07
10.154,0,0,-0.1,-0.03,-0.03,0.05
10.254,0,0,-0.32,0.01,0.01,0.01
10.354,0,0,-0.39,0.1,0.1,0.01
10.454,0,0,-0.12,-0.05,-0.05,0.01
10.554,0,0,-0.08,-0.05,-0.05,0.02
10.654,0,0,-0.35,0.06,0.06,0
10.754,0,0,-0.35,-0.12,-0.12,0.01
10.854,0,0,-0.51,-0.02,-0.02,0
10.954,0,0,-0.23,0.07,0.07,0
11.054,0,0,-0.1,-0.06,-0.06,-0.01
11.154,0,0,-0.42,0.07,0.07,-0.01
11.254,0,0,-0.41,0.06,0.06,-0.01
11.354,0,0,-0.38,-0.11,-0.11,-0.01
11.454,0,0,-0.12,-0.03,-0.03,0
11.554,0,0,-0.11,0.1,0.1,0.01
11.654,0,0,-0.23,-0.03,-0.03,-0.01
11.754,0,0,-0.22,0.05,0.05,0.01
11.854,0,0,-0.36,0.01,0.01,0.02
11.954,0,0,-0.1,-0.11,-0.11,0
12.054,0,0,0.06,0.05,0.05,-0.04
12.154,0,0,-0.13,0.09,0.09,0
