State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),MAX-M10S - Lat,MAX-M10S - Lon,MAX-M10S - Alt (m),MAX-M10S - Disp X (m),MAX-M10S - Disp Y (m),MAX-M10S - Disp Z (m),MAX-M10S - Fix Quality,MAX-M10S - Time of Day,DPS368 - Pres (hPa),DPS368 - Temp (C),DPS368 - Alt ASL (m),DPS368 - Alt AGL (m),BMI088andLIS3MDL - AccX (m/s^2),BMI088andLIS3MDL - AccY (m/s^2),BMI088andLIS3MDL - AccZ (m/s^2),BMI088andLIS3MDL - GyroX (rad/s),BMI088andLIS3MDL - GyroY (rad/s),BMI088andLIS3MDL - GyroZ (rad/s),BMI088andLIS3MDL - MagX (uT),BMI088andLIS3MDL - MagY (uT),BMI088andLIS3MDL - MagZ (uT),BMI088andLIS3MDL - OriX,BMI088andLIS3MDL - OriY,BMI088andLIS3MDL - OriZ,BMI088andLIS3MDL - OriW,Flight Computer Voltage - Raw Voltage (V),Flight Computer Voltage - Real Voltage (V)
3.352,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,0.900,2.250
3.403,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.010,2.524
3.454,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.048,2.621
3.505,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.065,2.661
3.556,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.071,2.677
3.607,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.071,2.677
3.658,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.071,2.677
3.709,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.068,2.669
3.760,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.045,2.613
3.811,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.032,2.581
3.862,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.023,2.556
3.913,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.016,2.540
3.964,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.010,2.524
4.015,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.006,2.516
4.066,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.013,2.532
4.117,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.019,2.548
4.168,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.026,2.565
4.219,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,1.000,1.032,2.581
