State - Time (s),State - Stage,State - Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),MAX-M10S - Lat,MAX-M10S - Lon,MAX-M10S - Alt (m),MAX-M10S - Disp X (m),MAX-M10S - Disp Y (m),MAX-M10S - Disp Z (m),MAX-M10S - Fix Quality,MAX-M10S - Time of Day,DPS310 - Pres (hPa),DPS310 - Temp (C),DPS310 - Alt ASL (m),DPS310 - Alt AGL (m),BMI088andLIS3MDL - AccX (m/s^2),BMI088andLIS3MDL - AccY (m/s^2),BMI088andLIS3MDL - AccZ (m/s^2),BMI088andLIS3MDL - GyroX (rad/s),BMI088andLIS3MDL - GyroY (rad/s),BMI088andLIS3MDL - GyroZ (rad/s),BMI088andLIS3MDL - MagX (uT),BMI088andLIS3MDL - MagY (uT),BMI088andLIS3MDL - MagZ (uT),BMI088andLIS3MDL - OriX,BMI088andLIS3MDL - OriY,BMI088andLIS3MDL - OriZ,BMI088andLIS3MDL - OriW,Flight Computer Voltage - Raw Voltage (V),Flight Computer Voltage - Real Voltage (V)
1295.936,1,1,-1.537,2.065,20.475,-5.818,12.224,56.787,-4.961,27.505,63.189,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,1005.559,44.479,64.196,17.342,-69.070,1.501,1.020,0.724,0.006,0.070,-4589.000,610.000,1709.000,0.706,-0.131,-0.674,-0.173,3.103,7.758
1296.137,1,1,-1.788,3.344,30.481,-6.345,18.575,65.474,-5.860,37.649,51.617,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,1004.346,44.489,74.354,27.500,-64.129,1.070,1.587,1.063,0.134,0.138,-4425.000,737.000,1959.000,0.691,-0.214,-0.649,-0.236,3.168,7.919
1296.338,1,1,-1.952,5.036,41.581,-5.984,25.877,71.917,-1.861,45.764,42.189,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,1003.085,44.487,84.926,38.072,-62.268,0.057,0.639,0.884,0.043,0.401,-4481.000,720.000,2195.000,0.661,-0.298,-0.633,-0.269,3.184,7.960
1296.539,1,1,-1.962,7.044,53.730,-4.998,33.140,76.803,1.146,49.635,34.884,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,1001.649,44.486,96.982,50.128,-60.638,-2.112,0.668,0.482,0.026,0.322,-4561.000,569.000,2348.000,0.639,-0.350,-0.625,-0.279,3.200,8.000
1296.740,1,1,-1.868,9.111,69.168,-4.494,38.305,83.722,-1.131,43.431,37.064,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,999.490,44.485,115.131,68.277,-57.010,-2.392,2.320,-0.520,0.043,-0.030,-4775.000,490.000,2199.000,0.657,-0.317,-0.639,-0.246,3.161,7.903
1296.941,1,1,-1.729,10.929,85.521,-3.826,41.118,90.800,-0.070,35.470,39.745,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,997.622,44.493,130.858,84.005,-53.254,-1.257,0.560,-0.573,-0.023,-0.092,-4584.000,413.000,2185.000,0.671,-0.273,-0.655,-0.215,3.161,7.903
1297.142,1,1,-1.585,12.308,103.442,-3.668,41.913,98.239,-2.350,28.298,41.141,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,995.480,44.491,148.919,102.065,-49.978,0.927,0.438,-0.418,0.113,-0.215,-4696.000,482.000,2011.000,0.693,-0.233,-0.654,-0.197,3.145,7.863
1297.343,1,1,-1.497,13.094,122.719,-3.903,39.790,102.691,-4.141,15.426,25.658,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,993.174,44.499,168.406,121.552,-30.103,0.797,2.571,-0.315,0.158,0.119,-4630.000,470.000,1880.000,0.706,-0.224,-0.652,-0.164,3.197,7.992
1297.544,1,1,-1.432,13.237,142.751,-3.548,36.430,104.652,-1.083,9.620,12.856,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,990.791,44.504,188.578,141.724,-15.867,-2.557,0.826,-0.405,-0.079,0.036,-4559.000,319.000,1857.000,0.706,-0.199,-0.666,-0.135,3.174,7.935
1297.745,2,2,-1.280,12.792,161.462,-2.169,31.484,103.545,4.311,0.881,2.998,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,988.796,44.500,205.497,158.643,-3.046,-0.022,-4.367,-0.381,-0.115,-0.019,-4590.000,171.000,1935.000,0.703,-0.170,-0.681,-0.111,3.206,8.016
1297.946,2,2,-1.086,11.889,178.138,-2.049,26.800,100.276,-1.567,0.402,-1.618,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,987.071,44.504,220.143,173.289,1.386,-0.733,1.666,-0.377,0.015,0.072,-4646.000,156.000,1882.000,0.707,-0.150,-0.687,-0.079,3.187,7.968
