"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J3";"PinHeader_1x04_P2.54mm_Vertical";1;"I2C Breakout";;;
2;"R15,R11,R12,R13";"R_0805_2012Metric";4;"10kΩ";;;
3;"C7,C2,C8,C1";"C_0805_2012Metric";4;"100nF";;;
4;"ANT1";"SGGP.12.A";1;"~";;;
5;"C12";"C_0805_2012Metric";1;"LP_C";;;
6;"D5";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"IMU_LED";;;
7;"C11";"C_0805_2012Metric";1;"4.7uF";;;
8;"J1,J7";"TerminalBlock_4Ucon_1x02_P3.50mm_Vertical";2;"Screw_Terminal_01x02";;;
9;"R4,R3";"R_0805_2012Metric";2;"4.7k";;;
10;"R16";"R_0805_2012Metric";1;"LP_R";;;
11;"Alt1";"BMP390";1;"~";;;
12;"C5,C6";"C_0805_2012Metric";2;"22pF";;;
13;"H1,H3,H2,H4";"MountingHole_2.7mm_M2.5";4;"MountingHole";;;
14;"D4";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"BMP_LED";;;
15;"D3";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"GPS_LED";;;
16;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"Serial2 Breakout";;;
17;"U1";"LGA-28_5.2x3.8mm_P0.5mm";1;"BNO055";;;
18;"R7,R6,R5,R8";"R_0805_2012Metric";4;"10K";;;
19;"Y1";"Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm";1;"32.768kHz";;;
20;"U2";"ublox_MAX";1;"MAX-M10S";;;
21;"J4";"PinHeader_1x04_P2.54mm_Vertical";1;"Serial1 Breakout";;;
22;"FB1";"L_0805_2012Metric";1;"LP_FerriteBead";;;
23;"J5";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Pin";;;
24;"J6";"PinHeader_1x09_P2.54mm_Vertical";1;"RFM69HCW";;;
25;"D1";"D_SOD-123";1;".5A/40V/420mV";;;
26;"R1,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"4.7kΩ";;;
27;"D6";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED";;;
28;"R9";"R_0805_2012Metric";1;"3.3kΩ";;;
29;"C9";"C_0805_2012Metric";1;"1.0uF";;;
30;"C3,C8,C4";"C_0805_2012Metric";3;"0.1uF";;;
31;"BZ1";"Adafruit_5V_Buzzer";1;"Buzzer";;;
32;"Teensy4.1";"Teensy_4.1";1;"~";;;
33;"D7";"D_0402_1005Metric_Pad0.77x0.64mm_HandSolder";1;"PESD0402";;;
34;"BT1";"BatteryHolder_Keystone_2998_1x6.8mm";1;"6.8mm_coin_cell_GPS";;;
