Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_Murata_PKMCS0909E,1,Buzzer,
"C1, C12, C13, C14, C15, C17, C18, C19, C2, C21, C23, C24, C27, C28, C3, C4, C5, C6, C8",0603,19,100 nF,
"C10, C11",0603,2,2.2 µF,
C16,0603,1,4.7 µF,
C20,0603,1,3.3 nF,
"C41, C42, C43, C44, C9",0805,5,10 µF,
C7,0805,1,22 µF,
D10,D_SMA,1,D_Schottky,
D2,SOT-23-3,1,ESDA5V3L,
"D3, D4, D5, D6",0805,4,LED,
D9,0805,1,D_Schottky,
"IC1, IC2",Diodes_SO-8EP,2,AP7362-33SP-13,
J1,PinHeader_1x05_P2.54mm_Vertical,1,SWD,
J10,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,BATT,
J11,"TerminalBlock_Phoenix_PT-1,5-4-3.5-H_1x04_P3.50mm_Horizontal",1,Conn_01x04,
J14,microSD_HC_Wuerth_693072010801,1,Micro_SD_Card,
"J2, J3, J5",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,3,UART,
J4,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J6,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SCREW_SW,
J7,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,I2C,
J8,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,SPI,
J9,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,3.3VOUT,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,BOOT,
L1,L_Sumida_CDMC6D28_7.25x6.5mm,1,2.2 µH,
"R1, R10, R11, R18, R2, R5",0603,6,5.1 kΩ,
R12,0603,1,11 kΩ,
"R13, R15, R23, R29, R3, R30, R31",0603,7,10 kΩ,
R14,0603,1,8.06 kΩ,
R16,0603,1,9.09 kΩ,
"R17, R20",0603,2,3.3 kΩ,
"R19, R21",0603,2,100 Ω,
"R22, R27",0603,2,100 kΩ,
R24,0603,1,78.7 kΩ,
"R25, R28",0603,2,27 kΩ,
R26,0603,1,47 kΩ,
R32,0603,1,33 Ω,
R4,0603,1,38.3 kΩ,
"R6, R7, R8, R9",0603,4,110 Ω,
U1,LGA-8_3x5mm_P1.25mm,1,MS5611-01BA,
U10,QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm,1,MLX90393ELW-ABA-xxx-xx,
U2,Bosch_LGA-16_4.5x3mm_P0.5mm_LayoutBorder7x1y_ClockwisePinNumbering,1,BMI088,
U3,QFN300X300X100-16N,1,H3LIS331DL,
U4,VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias,1,TPS62130,
U5,XCVR_SAM-M10Q-00B,1,SAM-M10Q-00B,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,LM393,
U7,TFBGA-100_8x8mm_Layout10x10_P0.8mm,1,STM32H723VEHx,
U8,Vishay_PowerPAK_1212-8_Dual,1,Si7232DN,
Y1,Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm,1,ECS-2520S,
