Designator,Mid X,Mid Y,Rotation,Layer
BOOT,249.3594,-123.9598,90.0,top
BZ1,246.079899,-98.015,90.0,bottom
C1,232.4328,-95.3984,180.0,top
C10,251.4525,-113.0975,180.0,bottom
C11,251.4525,-111.5875,180.0,bottom
C12,247.515,-112.53,90.0,bottom
C13,243.14,-113.075,90.0,bottom
C14,243.13,-116.425,90.0,bottom
C15,249.025,-112.525,90.0,bottom
C16,241.61,-116.45,90.0,bottom
C17,246.0,-112.525,90.0,bottom
C18,246.825,-89.73,0.0,bottom
C19,246.925,-110.12,180.0,bottom
C2,231.0006,-101.5168,180.0,bottom
C20,258.285,-84.485,180.0,bottom
C21,246.95,-108.585,180.0,bottom
C23,239.6,-113.025,0.0,top
C24,251.99,-99.175,90.0,bottom
C27,239.6,-111.515,180.0,top
C28,235.145,-102.755,180.0,bottom
C3,231.0864,-103.7557,0.0,bottom
C4,232.91,-108.77,0.0,bottom
C41,255.33,-94.805,270.0,top
C42,258.305,-101.045,0.0,top
C43,265.055,-91.82,0.0,top
C44,263.7075,-101.0325,180.0,top
C5,237.72,-109.13,180.0,bottom
C6,233.415,-99.055,90.0,bottom
C7,259.195,-89.855,180.0,top
C8,252.805,-88.425,270.0,top
C9,255.195,-88.395,90.0,top
D10,246.765,-84.715,180.0,bottom
D2,258.63,-108.31,180.0,bottom
D3,252.19,-124.73,90.0,top
D4,254.255,-124.73,90.0,top
D5,256.33,-124.755,90.0,top
D6,258.395,-124.755,90.0,top
D9,258.95,-111.105,0.0,top
H1,225.863376,-79.45,0.0,top
H2,267.225,-79.37922,0.0,top
H4,267.275,-134.125,0.0,top
IC1,258.965,-96.42,270.0,top
IC2,264.375,-96.435,270.0,top
J1,244.45,-128.88,90.0,top
J10,256.795,-80.44,180.0,top
J11,236.6,-80.115,0.0,top
J14,262.26,-121.58,90.0,bottom
J2,230.35,-126.875,0.0,top
J3,230.275,-120.075,0.0,top
J4,265.655,-108.025,90.0,top
J5,230.3,-113.25,0.0,top
J6,248.295,-80.465,180.0,top
J7,230.35,-133.725,0.0,top
J8,246.35,-133.705,0.0,top
J9,259.935,-133.72,0.0,top
L1,265.5,-86.535,270.0,top
NT1,250.4,-115.0,180.0,bottom
R1,231.4,-135.73,180.0,bottom
R10,236.51325,-97.55,90.0,bottom
R11,234.95,-96.19825,90.0,bottom
R12,262.5075,-86.39,180.0,bottom
R13,226.78,-88.775,270.0,bottom
R14,225.26,-88.775,90.0,bottom
R15,237.05,-90.5,0.0,bottom
R16,237.025,-88.965,180.0,bottom
R17,228.525,-94.61675,180.0,bottom
R18,265.23,-109.125,0.0,bottom
R19,228.525,-93.08175,180.0,bottom
R2,228.025,-135.72,180.0,bottom
R20,235.725,-92.325,90.0,top
R21,234.21,-92.325,90.0,top
R22,229.07,-89.0,270.0,top
R23,248.975,-114.98,180.0,bottom
R24,240.78,-87.55,270.0,bottom
R25,227.55,-88.99,90.0,top
R26,242.335,-87.55,90.0,bottom
R27,235.35,-88.925,270.0,top
R28,236.885,-88.925,90.0,top
R29,261.15,-118.155,180.0,top
R3,261.16,-116.62,180.0,top
R30,261.3,-123.265,0.0,top
R31,261.3,-124.775,0.0,top
R32,242.045,-109.625,270.0,top
R4,262.5125,-84.875,0.0,bottom
R5,265.23,-106.615,0.0,bottom
R6,256.335,-121.15,270.0,top
R7,254.29,-121.125,270.0,top
R8,258.405,-121.15,270.0,top
R9,252.18,-121.125,270.0,top
U1,236.0216,-97.2822,0.0,top
U10,235.2892,-102.5086,270.0,top
U2,231.0656,-102.9368,0.0,top
U3,235.3416,-106.9196,180.0,top
U4,258.9675,-86.1975,180.0,top
U5,246.05,-98.1,270.0,top
U6,231.5075,-89.5925,90.0,bottom
U7,247.865,-112.555,0.0,top
U8,231.635,-89.51,90.0,top
Y1,239.62,-109.345,90.0,top
