"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"CM2,CM3,CM5,CM1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"22pF";;;
2;"BZ1";"Adafruit_5V_Buzzer";1;"Buzzer";;;
3;"RFS1";"CG2409M2";1;"CG2409M2";;;
4;"CB2,CB3,CB1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"1u";;;
5;"LM1,LM3";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10nH";;;
6;"R8,R3,R7,R9,R4,R2,R5,R1,R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";9;"1k";;;
7;"CS1,VCC1,GPIO3,GPIO2,SDN1,GPIO0,STAT1,GPIO1,IRQ1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";9;"LED";;;
8;"CM4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"15pF";;;
9;"U1";"QFN-20-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias";1;"Si4463";;;
10;"CD1,CD0,CD2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"10uF";;;
11;"J3,J2";"PinHeader_1x03_P2.54mm_Vertical";2;"Conn_01x03_Pin";;;
12;"CB0";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10nF";;;
13;"Teensy4.1";"Teensy_4.1";1;"~";;;
14;"LR2";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"56nH";;;
15;"LChoke1";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"220nH";;;
16;"C0";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"9.1pF";;;
17;"C8,C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1uF";;;
18;"LR1";"L_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"62nH";;;
19;"CR2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"2.2pF";;;
20;"TCXO2";"TG2520SMN";1;"TG2520SMN";;;
21;"J1";"SMA_EDGELAUNCH";1;"SMA";;;
22;"L0";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"33nH";;;
23;"CR1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4.7pF";;;
