t_s,alt_ft_rel,vel,acc
7.233,-0.8,0.0,9.54
7.733,-0.66,0.0,9.72
8.233,-0.66,0.0,9.9
8.733,-0.77,0.0,9.94
9.233,-0.77,0.0,10.04
9.733,-0.76,0.0,9.68
10.233,-0.72,0.0,9.88
10.733,-0.75,0.0,9.84
11.233,-0.7,0.0,9.8
11.733,-0.61,0.0,9.92
12.233,-0.56,0.0,9.66
12.733,-0.57,0.0,9.69
13.233,-0.58,0.0,9.66
13.733,-0.52,0.0,9.8
14.233,-0.54,0.0,9.72
14.735,-0.56,0.0,9.74
15.239,-0.43,0.0,9.84
15.754,-0.43,0.0,9.9
16.254,-0.46,0.0,9.81
16.754,-0.39,0.0,9.79
17.259,-0.42,0.0,9.71
17.764,-0.34,0.0,9.89
18.269,-0.34,0.0,9.7
18.773,-0.39,0.0,9.85
19.279,-0.39,0.0,9.84
19.784,-0.35,0.0,9.84
20.29,-0.27,0.0,9.82
20.794,-0.34,0.0,9.8
21.299,-0.36,0.0,9.68
21.804,-0.37,0.0,9.7
22.309,-0.36,0.0,9.8
22.814,-0.27,0.0,9.66
23.319,-0.27,0.0,9.81
23.834,-0.35,0.0,9.87
24.334,-0.34,0.0,9.69
24.834,-0.24,0.0,9.82
25.339,-0.32,0.0,9.82
25.844,-0.29,0.0,9.82
26.349,-0.23,0.0,9.81
26.854,-0.29,0.0,9.86
27.36,-0.24,0.0,9.86
27.864,-0.26,0.0,9.72
28.369,-0.39,0.0,9.84
28.874,-0.31,0.0,9.77
29.38,-0.3,0.0,9.85
29.884,-0.28,0.0,9.72
30.389,-0.28,0.0,9.78
30.895,-0.18,0.0,9.69
31.4,-0.29,0.0,9.8
31.905,-0.17,0.0,9.73
32.409,-0.18,0.0,9.81
32.914,-0.21,0.0,9.86
33.419,-0.25,0.0,9.61
33.924,-0.23,0.0,9.71
34.429,-0.23,0.0,9.85
34.934,-0.37,0.0,9.78
35.438,-0.32,0.0,9.74
35.944,-0.35,0.0,9.99
36.449,-0.3,0.0,9.92
36.955,-0.32,0.0,9.78
37.459,-0.44,0.0,9.85
37.964,-0.33,0.0,9.88
38.469,-0.44,0.0,9.81
38.975,-0.37,0.0,9.77
39.479,-0.43,0.0,9.7
39.984,-0.4,0.0,9.8
40.489,-0.45,0.0,9.86
40.995,-0.4,0.0,9.8
41.499,-0.46,0.0,9.79
42.004,-0.52,0.0,9.88
42.509,-0.47,0.0,9.85
43.015,-0.49,0.0,9.84
43.519,-0.56,0.0,9.82
44.024,-0.58,0.0,9.74
44.524,-0.49,0.0,9.75
45.035,-0.55,0.0,9.75
45.539,-0.55,0.0,9.83
46.045,-0.59,0.0,9.81
46.55,-0.49,0.0,9.76
47.055,-0.52,0.0,9.72
47.56,-0.51,0.0,9.8
48.065,-0.42,0.0,9.91
48.57,-0.45,0.0,9.76
49.075,-0.43,0.0,9.78
49.58,-0.45,0.0,9.74
50.084,-0.43,0.0,9.72
50.589,-0.45,0.0,9.75
51.094,-0.48,0.0,9.75
51.599,-0.38,0.0,9.86
52.104,-0.41,0.0,9.79
52.609,-0.5,0.0,9.73
53.115,-0.46,0.0,9.69
53.619,-0.5,0.0,9.63
54.125,-0.48,0.0,9.78
54.629,-0.37,0.0,9.83
55.135,-0.44,0.0,9.72
55.639,-0.43,0.0,9.77
56.144,-0.41,0.0,9.74
56.649,-0.4,0.0,9.86
57.154,-0.47,0.0,9.81
57.659,-0.43,0.0,9.8
58.164,-0.5,0.0,9.8
58.669,-0.46,0.0,9.76
59.174,-0.42,0.0,9.81
59.679,-0.42,0.0,9.8
60.184,-0.48,0.0,9.72
60.69,-0.5,0.0,9.75
61.194,-0.46,0.0,9.74
61.699,-0.48,0.0,9.7
62.204,-0.5,0.0,9.81
62.709,-0.46,0.0,9.84
63.214,-0.49,0.0,9.75
63.719,-0.51,0.0,9.84
64.224,-0.54,0.0,9.89
64.729,-0.54,0.0,9.82
65.234,-0.48,0.0,9.82
65.739,-0.47,0.0,9.75
66.244,-0.45,0.0,9.83
66.749,-0.44,0.0,9.9
67.254,-0.38,0.0,9.71
67.759,-0.33,0.0,9.79
68.264,-0.27,0.0,9.81
68.769,-0.34,0.0,9.76
69.274,-0.31,0.0,9.8
69.779,-0.28,0.0,9.69
70.284,-0.33,0.0,9.75
70.789,-0.23,0.0,9.8
71.294,-0.37,0.0,9.75
71.799,-0.37,0.0,9.79
72.304,-0.33,0.0,9.71
72.809,-0.38,0.0,9.78
73.314,-0.45,0.0,9.76
73.819,-0.4,0.0,9.87
74.324,-0.4,0.0,9.84
74.829,-0.42,0.0,9.73
75.334,-0.42,0.0,9.77
75.839,-0.46,0.0,9.83
76.344,-0.43,0.0,9.84
76.849,-0.47,0.0,9.92
77.354,-0.36,0.0,9.79
77.859,-0.44,0.0,9.78
78.364,-0.39,0.0,9.87
78.869,-0.43,0.0,9.73
79.374,-0.44,0.0,9.82
79.879,-0.42,0.0,9.84
80.384,-0.53,0.0,9.81
80.889,-0.49,0.0,9.82
81.394,-0.54,0.0,9.83
81.899,-0.52,0.0,9.87
82.404,-0.52,0.0,10.13
82.909,-0.57,0.0,9.84
83.414,-0.43,0.0,9.75
83.919,-0.58,0.0,9.78
84.424,-0.56,0.0,9.82
84.929,-0.54,0.0,9.75
85.434,-0.6,0.0,9.81
85.939,-0.62,0.0,9.66
86.444,-0.56,0.0,9.75
86.949,-0.58,0.0,9.78
87.454,-0.63,0.0,9.88
87.959,-0.7,0.0,9.67
88.464,-0.7,0.0,9.59
88.969,-0.6,0.0,9.78
89.474,-0.64,0.0,9.84
89.979,-0.69,0.0,9.8
90.484,-0.66,0.0,9.9
90.989,-0.62,0.0,9.8
91.494,-0.57,0.0,9.86
91.999,-0.6,0.0,9.89
92.504,-0.67,0.0,9.73
93.009,-0.62,0.0,9.74
93.514,-0.7,0.0,9.76
94.019,-0.58,0.0,9.73
94.524,-0.62,0.0,9.85
95.029,-0.66,0.0,9.85
