t_s,alt_ft_rel,lat,lon,acc
263.248,-4.98,39.0002768,-76.1050994,9.91
263.748,-5.1,39.0002785,-76.1050997,9.79
264.259,-5.05,39.0002799,-76.1051003,9.87
264.759,-5.1,39.0002814,-76.1051009,9.84
265.259,-5.03,39.000283,-76.1051016,9.75
265.764,-5.12,39.0002843,-76.1051024,9.81
266.269,-5.12,39.0002852,-76.1051031,9.72
266.774,-5.09,39.0002861,-76.1051038,9.9
267.279,-5.26,39.0002865,-76.1051043,9.75
267.784,-5.28,39.0002869,-76.105105,9.72
268.289,-5.25,39.0002878,-76.1051055,10.55
268.794,-5.44,39.0002891,-76.1051062,9.62
269.299,-5.62,39.0002898,-76.1051068,9.86
269.804,-5.48,39.0002908,-76.1051074,9.84
270.309,-5.51,39.0002914,-76.1051078,9.77
270.814,-5.45,39.0002919,-76.1051082,10.03
271.319,-5.44,39.0002924,-76.1051087,9.85
271.824,-5.43,39.000293,-76.1051091,9.81
272.329,-5.57,39.0002935,-76.1051093,9.79
272.834,-5.7,39.000294,-76.1051095,9.71
273.339,-5.56,39.0002946,-76.1051098,9.86
273.844,-5.49,39.0002952,-76.1051101,9.81
274.349,-5.26,39.0002951,-76.1051103,9.84
274.854,-5.07,39.000295,-76.1051105,9.71
275.359,-5.03,39.0002949,-76.1051107,9.75
275.864,-5.05,39.0002946,-76.1051108,9.72
276.369,-4.89,39.0002944,-76.1051107,9.8
276.874,-5.05,39.000294,-76.1051105,9.81
277.379,-5.1,39.0002939,-76.1051107,9.79
277.884,-5.03,39.0002933,-76.1051105,9.79
278.389,-5.14,39.0002928,-76.1051105,9.77
278.894,-5.22,39.0002924,-76.1051105,9.77
279.399,-5.15,39.0002921,-76.1051105,9.83
279.904,-5.17,39.0002913,-76.1051101,9.75
280.409,-5.17,39.0002906,-76.10511,9.92
280.914,-5.24,39.0002893,-76.1051093,9.48
281.419,-5.27,39.0002876,-76.1051085,9.84
281.924,-5.24,39.0002862,-76.1051078,9.69
282.429,-5.17,39.0002848,-76.1051072,9.77
282.934,-5.25,39.0002837,-76.1051066,9.73
283.439,-5.36,39.0002823,-76.1051063,9.75
283.944,-5.36,39.0002813,-76.1051061,9.82
284.449,-5.26,39.0002803,-76.1051055,9.81
284.954,-5.17,39.0002788,-76.105105,9.7
285.459,-5.25,39.0002778,-76.1051046,9.9
285.964,-5.26,39.0002766,-76.105104,9.48
286.469,-5.33,39.0002752,-76.1051034,9.74
286.974,-5.33,39.0002743,-76.1051028,9.8
287.479,-5.31,39.0002729,-76.1051024,9.76
287.984,-5.26,39.000272,-76.1051025,9.85
288.489,-5.17,39.0002705,-76.1051022,9.69
288.994,-5.09,39.0002685,-76.1051018,9.72
289.499,-4.98,39.0002673,-76.1051017,9.84
290.004,-4.82,39.0002663,-76.1051018,9.81
290.509,-4.85,39.0002649,-76.1051016,9.81
291.014,-4.8,39.0002639,-76.1051014,9.76
291.519,-4.71,39.0002634,-76.1051016,9.73
292.024,-4.65,39.0002622,-76.1051013,9.76
292.529,-4.78,39.0002613,-76.1051013,9.88
293.034,-4.67,39.0002603,-76.105101,9.69
293.539,-4.71,39.0002596,-76.1051009,9.77
294.044,-4.78,39.0002589,-76.1051009,9.64
294.549,-4.77,39.000258,-76.1051006,9.81
295.054,-4.59,39.0002573,-76.1051001,9.78
295.559,-4.59,39.0002564,-76.1050997,9.64
296.064,-4.66,39.0002541,-76.1050987,9.8
296.569,-4.65,39.000254,-76.1050985,9.78
297.074,-4.78,39.000252,-76.1050976,9.77
297.579,-4.79,39.0002508,-76.1050971,9.58
298.084,-4.8,39.0002502,-76.1050967,9.73
298.589,-4.74,39.0002504,-76.1050965,9.82
299.094,-4.86,39.0002498,-76.1050963,10.05
299.599,-4.8,39.0002478,-76.1050958,9.82
300.104,-4.78,39.0002468,-76.105095,9.67
300.609,-4.73,39.0002473,-76.1050947,9.84
301.114,-4.73,39.0002478,-76.1050946,9.8
301.619,-4.74,39.0002486,-76.1050949,9.8
302.124,-4.78,39.0002485,-76.105095,10.02
302.629,-4.88,39.000249,-76.1050957,9.78
303.134,-4.82,39.0002477,-76.1050957,10.03
303.639,-4.89,39.0002462,-76.1050961,9.75
304.139,-5.02,39.0002446,-76.1050963,9.86
304.649,-5.22,39.0002436,-76.105097,9.7
305.154,-5.16,39.0002411,-76.1050969,9.71
305.659,-5.06,39.000239,-76.1050968,9.82
306.164,-5.01,39.0002393,-76.1050973,9.89
306.669,-4.9,39.0002386,-76.1050974,9.88
307.174,-5.05,39.0002385,-76.1050974,9.69
307.679,-5.16,39.0002365,-76.1050972,9.51
308.184,-5.0,39.0002352,-76.1050973,9.96
308.689,-4.98,39.0002358,-76.1050978,9.81
309.194,-5.07,39.0002368,-76.105098,9.79
309.699,-5.12,39.0002366,-76.1050977,9.77
310.204,-5.16,39.0002353,-76.1050972,9.86
310.709,-5.14,39.0002334,-76.1050968,9.79
311.214,-5.11,39.0002333,-76.1050967,9.79
311.719,-4.98,39.0002325,-76.1050974,9.78
312.224,-4.82,39.0002306,-76.105098,9.73
312.729,-4.64,39.0002288,-76.105098,9.73
313.244,-4.62,39.0002284,-76.1050984,9.94
313.744,-4.65,39.0002276,-76.1050989,9.94
314.253,-4.6,39.0002265,-76.1050989,9.88
314.753,-4.54,39.0002246,-76.1050991,9.76
315.254,-4.53,39.0002239,-76.1050996,9.8
315.759,-4.52,39.0002219,-76.1050994,9.75
316.264,-4.52,39.00022,-76.1050998,9.81
316.769,-4.48,39.0002183,-76.1050997,9.77
317.274,-4.49,39.0002164,-76.1050998,9.76
317.779,-4.52,39.0002157,-76.1050994,9.73
318.284,-4.42,39.0002164,-76.1050995,9.86
318.789,-4.49,39.0002176,-76.1051002,9.85
319.294,-4.4,39.0002181,-76.1051015,9.65
319.799,-4.4,39.0002183,-76.1051021,9.91
320.304,-4.46,39.0002182,-76.1051031,9.76
320.809,-4.45,39.0002191,-76.1051044,9.77
321.314,-4.44,39.0002207,-76.1051058,9.86
321.819,-4.41,39.00022,-76.1051063,9.75
322.324,-4.49,39.0002179,-76.1051064,9.77
322.829,-4.52,39.000217,-76.1051063,9.78
323.344,-4.53,39.0002176,-76.1051068,9.75
323.844,-4.43,39.0002149,-76.1051066,9.96
324.344,-4.55,39.0002145,-76.1051069,9.85
324.849,-4.55,39.0002193,-76.1051089,9.79
325.354,-4.54,39.0002191,-76.1051107,9.85
325.859,-4.69,39.0002201,-76.1051111,9.93
326.364,-4.61,39.0002196,-76.1051105,9.76
326.869,-4.73,39.0002216,-76.1051115,9.74
327.374,-4.68,39.0002221,-76.1051109,9.74
327.879,-4.69,39.0002251,-76.1051127,9.8
328.384,-4.79,39.0002264,-76.1051135,9.87
328.889,-4.78,39.0002282,-76.1051131,9.8
329.394,-4.87,39.0002287,-76.1051126,9.72
329.899,-4.89,39.0002296,-76.1051129,9.79
330.404,-4.95,39.0002323,-76.105114,9.76
330.909,-4.91,39.0002342,-76.1051154,9.77
331.414,-4.91,39.0002341,-76.1051159,9.86
331.919,-4.92,39.0002365,-76.1051176,9.73
332.424,-4.94,39.0002391,-76.1051178,9.65
332.929,-4.93,39.0002405,-76.1051199,9.83
333.434,-4.91,39.000242,-76.1051189,9.54
333.939,-4.74,39.0002439,-76.1051195,9.68
334.444,-4.73,39.0002455,-76.1051216,9.68
334.949,-4.63,39.0002474,-76.105123,9.89
335.454,-4.59,39.0002488,-76.1051236,10.01
335.959,-4.52,39.0002491,-76.1051226,9.86
336.464,-4.53,39.000249,-76.1051213,9.6
