t_s,alt_m_asl,lat_deg,lon_deg,acc_z_m_s2,vel_z_m_s,state_pz_m,motor_angle_deg
599.034,8.324,0.0,0.0,-14.996,-15.072,-4.494,0.0
600.044,8.157,0.0,0.0,-14.425,-15.169,-4.545,0.0
601.054,8.407,0.0,0.0,-15.001,-15.087,-4.517,0.0
602.044,7.991,0.0,0.0,-14.565,-15.369,-4.682,0.0
603.054,8.241,0.0,0.0,-15.051,-15.324,-4.593,0.0
604.065,8.241,0.0,0.0,-14.756,-15.192,-4.578,0.0
605.071,8.074,0.0,0.0,-14.744,-15.21,-4.594,0.0
606.081,7.991,0.0,0.0,-15.123,-15.297,-4.648,0.0
607.091,8.241,0.0,0.0,-15.057,-15.286,-4.595,0.0
608.123,7.908,0.0,0.0,-15.0,-15.507,-4.751,0.0
609.134,7.908,0.0,0.0,-14.967,-15.496,-4.761,0.0
610.144,8.324,0.0,0.0,-14.498,-15.373,-4.613,0.0
611.155,8.157,0.0,0.0,-15.246,-15.529,-4.694,0.0
612.144,8.074,0.0,0.0,-14.733,-15.49,-4.736,0.0
613.154,7.991,0.0,0.0,-15.405,-15.501,-4.755,0.0
614.165,8.157,0.0,0.0,-14.485,-15.448,-4.729,0.0
615.176,8.157,0.0,0.0,-14.292,-15.387,-4.767,0.0
616.186,8.074,0.0,0.0,-15.141,-15.399,-4.756,0.0
617.196,8.074,0.0,0.0,-14.567,-15.399,-4.738,0.0
618.228,8.074,0.0,0.0,-14.95,-15.427,-4.829,0.0
619.239,7.991,0.0,0.0,-14.074,-15.312,-4.818,0.0
620.249,7.908,0.0,0.0,-14.379,-15.304,-4.803,0.0
621.259,7.825,0.0,0.0,-14.6,-15.367,-4.883,0.0
622.249,7.825,0.0,0.0,-14.402,-15.334,-4.841,0.0
623.254,7.991,0.0,0.0,-14.622,-15.355,-4.811,0.0
624.265,7.991,0.0,0.0,-14.653,-15.296,-4.836,0.0
625.276,7.825,0.0,0.0,-15.138,-15.338,-4.858,0.0
626.286,7.908,0.0,0.0,-14.984,-15.324,-4.849,0.0
627.296,7.991,0.0,0.0,-13.962,-15.37,-4.902,0.0
628.329,7.741,0.0,0.0,-13.343,-14.286,-5.144,0.0
629.339,7.242,0.0,0.0,-13.193,-13.976,-5.3,0.0
630.349,7.325,0.0,0.0,-13.399,-14.072,-5.298,0.0
631.36,7.574,0.0,0.0,-13.955,-14.263,-5.219,0.0
632.35,7.658,0.0,0.0,-14.112,-14.506,-5.191,0.0
633.359,7.492,0.0,0.0,-14.72,-14.883,-5.277,0.0
634.375,7.574,0.0,0.0,-14.475,-15.072,-5.279,0.0
635.387,7.408,0.0,0.0,-15.489,-15.373,-5.374,0.0
